id,hotelid,hotelname,address,city,country,zipcode,propertytype,starrating,latitude,longitude,Source,url,curr
84909,2738759,Rivendell Guest House,23 Helvellyn Street,Keswick,United Kingdom,,Hotels,4,54.60033035,-3.131530046,5,https://www.agoda.com/en-gb/rivendell-guest-house/hotel/keswick-gb.html,GBP
84910,273877,Hotel Gran Baita,Via Villaggio Alpino 21,Sauze d'Oulx,Italy,10050,Hotels,3,45.02717972,6.856550217,5,https://www.agoda.com/en-gb/hotel-gran-baita/hotel/sauze-d-oulx-it.html,EUR
84911,273885,Motel Hanul Doctorului,Street Viitorului Nr. 1,Craiova,Romania,200786,Motels,2,44.314705,23.861761,5,https://www.agoda.com/en-gb/motel-hanul-doctorului/hotel/craiova-ro.html,EUR
84912,2738972,Prima Vista Boutique Hotel,Agia Paraskevi Beach Sivota,Sivota,Greece,46100,Hotels,4,39.38736948,20.27502566,2,http://www.booking.com/hotel/gr/prima-vista-boutique.en-gb.html,EUR
84913,273901,Eden Hotel,C.so Italia 39,Deiva Marina,Italy,19013,Hotels,2,44.21619034,9.518119812,5,https://www.agoda.com/en-gb/eden-hotel/hotel/deiva-marina-it.html,EUR
84914,273911,Baranya Hotel Harkany,Bajcsy Zs.u.5 - 7,Harkany,Hungary,7815,Hotels,3,45.85307569,18.24086666,2,http://www.booking.com/hotel/hu/baranya-harkany.en-gb.html,EUR
84915,2739137,alfa hotel,Zum Ensheimer Gelosch 2,Sankt Ingbert,Germany,66386,Hotels,3,49.257259,7.10196,2,http://www.booking.com/hotel/de/alfa-sankt-ingbert.en-gb.html,EUR
84916,273918,Maisons de Vacances Castelwood,Bois Du Chateau,Biron,France,24540,Holiday parks,4,44.6247971,0.87675512,2,http://www.booking.com/hotel/fr/castelwood.en-gb.html,EUR
84917,273921,Semiramis Village,Hersonissos,Crete Island,Greece,70014,Hotels,4,35.30181885,25.4172802,5,https://www.agoda.com/en-gb/semiramis-village/hotel/crete-island-gr.html,EUR
84918,273932,Hotel Scacciapensieri,Largo Giovanni Xxiii 9,Nettuno,Italy,48,Hotels,3,41.45679123,12.67348588,2,http://www.booking.com/hotel/it/scacciapensieri.en-gb.html,EUR
84919,273935,Gold Beach Hotel,Rue Devonshire Regiment,Asnelles,France,14960,Hotels,3,49.33972056,-0.58502197,2,http://www.booking.com/hotel/fr/c2a-residence-gold-beach.en-gb.html,EUR
84920,273940,Hotel Marina,Casale Comuna,Viverone,Italy,13886,Hotels,4,45.40844039,8.05489361,2,http://www.booking.com/hotel/it/marina-viverone.en-gb.html,EUR
84921,273959,Hera Hotel,Dimokratias Avenue 179,Alexandroupoli,Greece,68100,Hotels,2,40.84628934,25.87847292,2,http://www.booking.com/hotel/gr/hera-alexandroupoli.en-gb.html,EUR
84922,273966,Chalet Hotel Aiguille Blanche Logis,90 Route de Carry,Les Gets,France,74260,Hotels,2,46.15891488,6.67104006,2,http://www.booking.com/hotel/fr/chalet-aiguille-blanche.en-gb.html,EUR
84923,273969,Belussi Beach,Kipseli,Zakynthos Island,Greece,29100,Hotels,3,37.8371582,20.82481003,5,https://www.agoda.com/en-gb/belussi-beach/hotel/zakynthos-island-gr.html,EUR
84924,273976,Hotel de Schelphoek,Serooskerkseweg 24,Serooskerke,Netherlands,,Hotels,3,51.69905343,3.8114512,2,http://www.booking.com/hotel/nl/hrc-de-schelphoek.en-gb.html,EUR
84925,273981,Hotel Askania,30 Adrian-Stoop-Str.,Bad Wiessee,Germany,83707,Hotels,3,47.7167511,11.72494984,5,https://www.agoda.com/en-gb/hotel-askania/hotel/bad-wiessee-de.html,EUR
84926,273982,Hotel Saturno,Via Vicenza 56,Lido Di Jesolo,Italy,30016,Hotels,2,45.49552155,12.61404037,5,https://www.agoda.com/en-gb/hotel-saturno/hotel/lido-di-jesolo-it.html,EUR
84927,273986,Living Hotel an der Oper by Derag,Karntner Strasse 44,Vienna,Austria,1010,Hotels,4,48.20164839,16.36900529,2,http://www.booking.com/hotel/at/derag-city-apartments.en-gb.html,EUR
84928,273996,Park Hotel Sabina,"Via Flaminia Km 65,500",Magliano Sabina,Italy,2046,Hotels,4,42.38476823,12.47217,2,http://www.booking.com/hotel/it/park-sabina.en-gb.html,EUR
84929,274000,Wellness Hotel Belvedere,"Via G. Garibaldi, 24",Falcade,Italy,32020,Hotels,3,46.35477001,11.86093211,2,http://www.booking.com/hotel/it/wellness-belvedere.en-gb.html,EUR
84930,274009,Villa Sveti Dimitar,53 Borovets,Borovets,Bulgaria,2010,Hotels,2,42.2704835,23.60005438,2,http://www.booking.com/hotel/bg/villa-sveti-dimitar.en-gb.html,BGN
84931,274010,Oravi Apartments,Kiramontie 15,Oravi,Finland,58130,Hotels,3,62.11453496,28.60549629,2,http://www.booking.com/hotel/fi/oravi.en-gb.html,EUR
84932,274014,Pistenhotel Lizumerhof,Axamer Lizum 3-4,Axamer Lizum,Austria,6094,Hotels,4,47.19323391,11.30265713,2,http://www.booking.com/hotel/at/pistenhotel-lizumerhof.en-gb.html,EUR
84933,274021,Kur- und Wellnesshotel Schropp,Obere Muhlstrasse 13a,Bad Worishofen,Germany,86825,Hotels,3,47.999386,10.590737,5,https://www.agoda.com/en-gb/kur-und-wellnesshotel-schropp/hotel/bad-worishofen-de.html,EUR
84934,274022,Hotel Restaurant Bellecote,1 rue de la Glisse,Montchavin,France,73210,Hotels,3,45.55988743,6.73473716,2,http://www.booking.com/hotel/fr/restaurant-bellecote.en-gb.html,EUR
84935,274030,Dimitrios Beach Hotel,"Australon Polemiston 16, Perivolia",Rethymno Town,Greece,74100,Hotels,4,35.36713248,24.50680196,2,http://www.booking.com/hotel/gr/dimitrios-beach.en-gb.html,EUR
84936,274032,Miranda Soul,"Gran Via del Puig Blanc, 12",Majorca,Spain,7180,Hotels,2,39.51514816,2.485160112,5,https://www.agoda.com/en-gb/miranda-soul/hotel/majorca-es.html,EUR
84937,274033,The Waverley Hotel,32-37 Princes Road,Great Yarmouth,United Kingdom,,Hotels,3,52.60863876,1.735450029,5,https://www.agoda.com/en-gb/the-waverley-hotel/hotel/great-yarmouth-gb.html,GBP
84938,274037,Rachev Hotel Residence,"2, Dimitar Papazov",Arbanasi,Bulgaria,5029,Hotels,4,43.09886775,25.65861225,2,http://www.booking.com/hotel/bg/rachev-residence.en-gb.html,BGN
84939,274037,Xenophon Hotel,Acharnon 340,Athens,Greece,11145,Hotels,4,38.01522064,23.72896957,5,https://www.agoda.com/en-gb/xenophon-hotel/hotel/athens-gr.html,EUR
84940,274042,Hotel Les Orangeries,12 Avenue Du Docteur Dupont,Lussac-les-Chateaux,France,86320,Hotels,3,46.40336001,0.7223618,2,http://www.booking.com/hotel/fr/les-orangeries.en-gb.html,EUR
84941,274042,Chrisais Hotel,Monemvasia,Monemvasia,Greece,23070,Hotels,2,36.701225,23.033293,5,https://www.agoda.com/en-gb/chrisais-hotel/hotel/monemvasia-gr.html,EUR
84942,274048,Boson Hotell,Boson,Lidingo,Sweden,,Hotels,3,59.38249085,18.18369269,2,http://www.booking.com/hotel/se/boson.en-gb.html,SEK
84943,274049,Hotel Frechener Hof,Johann-Schmitz-Platz 22,Frechen,Germany,50226,Hotels,4,50.90761994,6.80910945,2,http://www.booking.com/hotel/de/frechener-hof.en-gb.html,EUR
84944,274052,Blue Island,150 El. Venizelou Street,Crete Island,Greece,70014,Hotels,3,35.3132515,25.3960495,5,https://www.agoda.com/en-gb/blue-island/hotel/crete-island-gr.html,EUR
84945,274067,Hotel Playa Mondrago,"Cala Mondrago, s/n",Majorca,Spain,7691,Hotels,3,39.3534317,3.189939976,5,https://www.agoda.com/en-gb/hotel-playa-mondrago/hotel/majorca-es.html,EUR
84946,274072,Hotel Recif,Str Plopilor nr 12 B,Neptun,Romania,905550,Hotels,3,43.86370087,28.59458923,5,https://www.agoda.com/en-gb/hotel-recif/hotel/neptun-ro.html,EUR
84947,2740758,Hotell Bjornen,Tradgardsgatan 36 36,Astorp,Sweden,,Hotels,3,56.1368856,12.9436021,2,http://www.booking.com/hotel/se/hotell-bjornen-astorp1.en-gb.html,SEK
84948,274098,Vlachogiannis Hotel,Dasylio Prinou,Thassos,Greece,64010,Hotels,2,40.75971985,24.5638504,5,https://www.agoda.com/en-gb/vlachogiannis-hotel/hotel/thassos-gr.html,EUR
84949,274122,Hotel Palota,Klebelsberg street 21,Budapest,Hungary,1158,Hotels,3,47.53612137,19.12068939,5,https://www.agoda.com/en-gb/hotel-palota/hotel/budapest-hu.html,EUR
84950,274134,Rainbow Hotel,"3, Charalambou Moschou str.",Rhodes,Greece,85100,Hotels,2,36.433147,28.234482,5,https://www.agoda.com/en-gb/rainbow-hotel/hotel/rhodes-gr.html,EUR
84951,2741534,Hotel Colvenier,6 Sint-Antoniusstraat,Antwerp,Belgium,2000,Hotels,4,51.2157085,4.399357,2,http://www.booking.com/hotel/be/colvenier.en-gb.html,EUR
84952,274156,KUHOTEL by Rilano,Sonnwendstrasse 13b,Waidring,Austria,6384,Hotels,4,47.58495879,12.57535994,2,http://www.booking.com/hotel/at/rilano-resort-steinplatte.en-gb.html,EUR
84953,274183,Hotel Guerra,Via Francesco Paolo Tosti,Francavilla al Mare,Italy,66023,Hotels,4,42.41204812,14.30627449,2,http://www.booking.com/hotel/it/guerra.en-gb.html,EUR
